Brand,Year,Mileage,Fuel,Price
Toyota,2018,35000,Petrol,800000
Honda,2017,42000,Diesel,750000
Hyundai,2019,28000,Petrol,850000
Maruti,2016,50000,Petrol,450000
Ford,2018,30000,Diesel,700000
BMW,2020,15000,Petrol,3200000
Audi,2019,20000,Diesel,2800000
Mercedes,2020,12000,Petrol,3500000
Tata,2017,60000,Diesel,400000
Mahindra,2018,45000,Diesel,550000
Kia,2020,10000,Petrol,900000
Volkswagen,2019,25000,Diesel,950000
Skoda,2018,30000,Petrol,1000000
Renault,2017,48000,Diesel,500000
Nissan,2016,55000,Petrol
